Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
24	right	1	0.752	B,o	Con - Easy 2	2	
25	right	1	1.602	b,o	Exp - Hard 1	2	
26	left	1	1.428	O,b	Con - Easy 2	2	
27	right	1	1.229	b,o	Exp - Hard 2	2	
28	right	1	0.764	B,o	Con - Easy 1	2	
29	left	1	3.094	o,b	Exp - Hard 1	2	
30	right	1	0.624	B,o	Con - Easy 1	2	
31	left	1	0.700	o,b	Exp - Hard 1	2	
32	left	1	1.971	o,b	Exp - Hard 1	2	
33	left	1	0.962	o,b	Exp - Hard 2	2	
34	right	1	0.661	B,o	Con - Easy 1	2	
35	right	1	0.608	B,o	Con - Easy 2	2	
36	left	1	3.300	o,b	Exp - Hard 1	2	
37	right	1	1.627	b,o	Exp - Hard 2	2	
38	left	1	0.834	O,b	Con - Easy 1	2	
39	right	1	1.325	B,o	Con - Easy 1	2	
40	left	1	0.840	O,b	Con - Easy 2	2	
1	left	0	6.757	b2,o2	Exp - Hard 2 & Hard 2	
2	left	1	1.057	o1,O1	Con - Hard 1 & Easy 1	
3	left	1	0.953	O2,O2	Exp - Easy 2 & Easy 2	
4	left	1	1.946	O1,o1	Con - Easy 1 & Hard 1	
5	right	1	1.678	b1,O1	Con - Hard 1 & Easy 1	
6	right	1	1.798	B2,O2	Exp - Easy 2 & Easy 2	
7	left	1	5.318	o2,o2	Exp - Hard 2 & Hard 2	
8	right	1	1.749	b1,O1	Con - Hard 1 & Easy 1	
9	right	1	4.372	b1,o1	Exp - Hard 1 & Hard 1	
10	right	1	1.717	b2,O2	Con - Hard 2 & Easy 2	
11	right	1	4.034	b1,o1	Exp - Hard 1 & Hard 1	
12	left	1	4.168	o2,O2	Con - Hard 2 & Easy 2	
13	right	1	1.531	B2,O2	Exp - Easy 2 & Easy 2	
14	left	1	1.091	O2,O2	Exp - Easy 2 & Easy 2	
15	left	1	0.916	O1,O1	Exp - Easy 1 & Easy 1	
16	left	1	1.123	o2,O2	Con - Hard 2 & Easy 2	
17	left	1	2.969	o1,o1	Exp - Hard 1 & Hard 1	
18	left	1	1.701	O1,O1	Exp - Easy 1 & Easy 1	
