Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
50	right	1	1.419	B1,o1	Con - Easy 1 & Hard 1	
51	right	1	1.443	o1,b1	Exp - Hard 1 & Hard 1	
52	right	1	1.751	o2,b2	Exp - Hard 2 & Hard 2	
53	left	1	1.341	B1,b1	Con - Easy 1 & Hard 1	
54	left	1	0.826	b2,b2	Exp - Hard 2 & Hard 2	
55	left	1	0.651	B1,B1	Exp - Easy 1 & Easy 1	
56	right	0	1.307	B2,b2	Con - Easy 2 & Hard 2	
57	right	0	1.167	B1,b1	Con - Easy 1 & Hard 1	
58	right	1	1.526	o2,B2	Con - Hard 2 & Easy 2	
59	right	1	1.539	o1,b1	Exp - Hard 1 & Hard 1	
60	left	0	1.379	o1,B1	Con - Hard 1 & Easy 1	
61	left	1	0.674	b2,B2	Con - Hard 2 & Easy 2	
62	left	0	1.104	B2,B2	Exp - Easy 2 & Easy 2	
63	left	1	1.802	B2,b2	Con - Easy 2 & Hard 2	
64	left	1	0.677	B1,B1	Exp - Easy 1 & Easy 1	
65	left	1	1.164	b1,B1	Con - Hard 1 & Easy 1	
66	left	0	1.425	B1,o1	Con - Easy 1 & Hard 1	
67	left	1	0.683	b1,B1	Con - Hard 1 & Easy 1	
68	right	0	2.480	B1,b1	Con - Easy 1 & Hard 1	
69	left	1	1.920	B1,B1	Exp - Easy 1 & Easy 1	
70	left	1	1.203	b2,b2	Exp - Hard 2 & Hard 2	
71	right	1	1.204	B2,o2	Con - Easy 2 & Hard 2	
72	left	1	1.086	O1,B1	Exp - Easy 1 & Easy 1	
73	left	0	1.056	o2,B2	Con - Hard 2 & Easy 2	
74	right	1	1.245	o2,B2	Con - Hard 2 & Easy 2	
75	right	0	1.995	b1,b1	Exp - Hard 1 & Hard 1	
76	left	0	1.164	O2,B2	Exp - Easy 2 & Easy 2	
77	left	0	0.974	o1,B1	Con - Hard 1 & Easy 1	
78	left	1	1.642	b1,b1	Exp - Hard 1 & Hard 1	
79	right	1	1.458	o1,b1	Exp - Hard 1 & Hard 1	
80	right	1	1.675	B2,o2	Con - Easy 2 & Hard 2	
81	left	0	1.034	o2,B2	Con - Hard 2 & Easy 2	
82	right	1	1.538	o1,b1	Exp - Hard 1 & Hard 1	
83	left	1	0.682	b1,B1	Con - Hard 1 & Easy 1	
84	left	1	0.630	B1,B1	Exp - Easy 1 & Easy 1	
85	right	1	1.257	O2,B2	Exp - Easy 2 & Easy 2	
86	left	1	1.205	B1,b1	Con - Easy 1 & Hard 1	
87	left	0	1.016	o1,b1	Exp - Hard 1 & Hard 1	
88	left	0	0.936	B2,B2	Exp - Easy 2 & Easy 2	
89	right	1	1.130	o2,b2	Exp - Hard 2 & Hard 2	
