Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
105	right	0	1.997	o1,o1	Exp - Hard 1 & Hard 1	
106	right	1	0.945	O1,b1	Con - Easy 1 & Hard 1	
107	right	1	1.480	B2,O2	Exp - Easy 2 & Easy 2	
108	right	0	3.177	O2,o2	Exp - Easy 2 & Hard 2	
109	left	1	0.966	o1,O1	Con - Hard 1 & Easy 1	
110	right	1	4.144	B2,O2	Exp - Easy 2 & Easy 2	
111	right	1	0.750	O1,b1	Con - Easy 1 & Hard 1	
112	left	1	1.114	O1,o1	Con - Easy 1 & Hard 1	
113	left	0	1.857	O1,b1	Con - Easy 1 & Hard 1	
114	left	0	0.841	b1,o1	Exp - Hard 1 & Hard 1	
115	right	0	1.052	o2,O2	Con - Hard 2 & Easy 2	
116	right	0	2.580	o1,o1	Exp - Hard 1 & Hard 1	
117	left	0	2.552	b2,O2	Con - Hard 2 & Easy 2	
118	left	1	1.530	o2,O2	Con - Hard 2 & Easy 2	
119	right	1	4.359	b2,O2	Con - Hard 2 & Easy 2	
120	right	1	1.386	B1,O1	Exp - Easy 1 & Easy 1	
121	left	1	1.030	O2,O2	Exp - Easy 2 & Easy 2	
122	right	1	1.171	b1,O1	Con - Hard 1 & Easy 1	
123	right	0	0.941	O1,o1	Con - Easy 1 & Hard 1	
124	right	1	1.140	B2,O2	Exp - Easy 2 & Easy 2	
125	right	1	1.535	b2,O2	Con - Hard 2 & Easy 2	
126	right	1	1.399	b1,O1	Con - Hard 1 & Easy 1	
127	left	1	0.924	O1,O1	Exp - Easy 1 & Easy 1	
128	right	1	1.217	B1,O1	Exp - Easy 1 & Easy 1	
129	left	1	0.817	O1,O1	Exp - Easy 1 & Easy 1	
130	left	0	1.924	b2,o2	Exp - Hard 2 & Hard 2	
131	right	0	1.440	o2,o2	Exp - Hard 2 & Hard 2	
132	right	1	1.520	B2,O2	Exp - Easy 2 & Easy 2	
133	right	1	1.353	b2,o2	Exp - Hard 2 & Hard 2	
134	left	1	1.011	O2,O2	Exp - Easy 2 & Easy 2	
135	right	1	2.998	B2,O2	Exp - Easy 2 & Easy 2	
136	right	1	1.216	B2,O2	Exp - Easy 2 & Easy 2	
137	right	0	1.006	o2,o2	Exp - Hard 2 & Hard 2	
138	right	0	1.168	o2,o2	Exp - Hard 2 & Hard 2	
