Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
35	right	1	0.702	B,o	Con - Easy 2	2	
36	left	1	0.845	O,b	Con - Easy 1	2	
37	left	0	1.554	b,o	Exp - Hard 1	2	
38	left	1	0.703	O,b	Con - Easy 2	2	
39	right	1	1.302	b,o	Exp - Hard 1	2	
40	right	1	1.244	B,o	Con - Easy 2	2	
1	right	0	2.212	o1,O1	Con - Hard 1 & Easy 1	
2	right	1	3.359	b1,o1	Exp - Hard 1 & Hard 1	
3	right	0	3.154	O1,o1	Con - Easy 1 & Hard 1	
4	right	1	2.204	B2,O2	Exp - Easy 2 & Easy 2	
5	left	1	1.291	O1,o1	Con - Easy 1 & Hard 1	
6	right	1	1.834	O1,b1	Con - Easy 1 & Hard 1	
7	left	0	1.997	b1,o1	Exp - Hard 1 & Hard 1	
8	left	1	2.203	O2,o2	Exp - Easy 2 & Hard 2	
9	right	1	1.560	b1,O1	Con - Hard 1 & Easy 1	
10	left	1	1.365	o2,o2	Exp - Hard 2 & Hard 2	
11	left	1	0.831	O2,O2	Exp - Easy 2 & Easy 2	
12	left	1	0.882	O2,O2	Exp - Easy 2 & Easy 2	
13	left	0	3.543	b1,o1	Exp - Hard 1 & Hard 1	
14	right	1	2.140	O1,b1	Con - Easy 1 & Hard 1	
15	left	0	3.061	O2,b2	Con - Easy 2 & Hard 2	
16	left	1	1.776	o1,o1	Exp - Hard 1 & Hard 1	
17	left	0	2.177	O2,b2	Con - Easy 2 & Hard 2	
18	right	1	1.079	B1,O1	Exp - Easy 1 & Easy 1	
19	left	1	2.254	O2,o2	Exp - Easy 2 & Hard 2	
20	right	1	1.427	b1,O1	Con - Hard 1 & Easy 1	
21	left	1	1.250	o2,O2	Con - Hard 2 & Easy 2	
22	right	1	1.048	B1,O1	Exp - Easy 1 & Easy 1	
23	left	1	1.343	o1,o1	Exp - Hard 1 & Hard 1	
24	left	0	1.152	b2,o2	Exp - Hard 2 & Hard 2	
25	left	1	1.347	o2,o2	Exp - Hard 2 & Hard 2	
26	right	1	1.275	B1,O1	Exp - Easy 1 & Easy 1	
27	left	0	1.129	b2,o2	Exp - Hard 2 & Hard 2	
28	right	1	1.568	B2,O2	Exp - Easy 2 & Easy 2	
29	left	0	1.080	O2,b2	Con - Easy 2 & Hard 2	
30	left	0	0.928	b2,o2	Exp - Hard 2 & Hard 2	
31	left	1	0.859	O1,o1	Con - Easy 1 & Hard 1	
32	left	1	1.486	O1,o1	Con - Easy 1 & Hard 1	
33	right	1	0.903	B1,O1	Exp - Easy 1 & Easy 1	
34	left	1	1.004	o1,o1	Exp - Hard 1 & Hard 1	
35	left	0	1.643	O2,b2	Con - Easy 2 & Hard 2	
36	left	1	2.106	O2,o2	Exp - Easy 2 & Hard 2	
37	left	0	3.633	b2,o2	Exp - Hard 2 & Hard 2	
38	left	1	1.668	o1,O1	Con - Hard 1 & Easy 1	
39	right	1	0.968	b1,O1	Con - Hard 1 & Easy 1	
40	right	1	0.786	B2,O2	Exp - Easy 2 & Easy 2	
41	right	1	2.057	b2,O2	Con - Hard 2 & Easy 2	
42	right	1	2.608	b1,O1	Con - Hard 1 & Easy 1	
43	left	1	2.499	O2,o2	Exp - Easy 2 & Hard 2	
44	left	0	1.746	b2,o2	Exp - Hard 2 & Hard 2	
45	left	1	1.645	o2,o2	Exp - Hard 2 & Hard 2	
46	right	1	0.861	B1,O1	Exp - Easy 1 & Easy 1	
47	right	1	1.256	b2,O2	Con - Hard 2 & Easy 2	
48	left	1	0.914	O2,O2	Exp - Easy 2 & Easy 2	
49	right	1	2.057	b1,o1	Exp - Hard 1 & Hard 1	
50	right	1	1.362	B2,O2	Exp - Easy 2 & Easy 2	
51	right	1	0.811	B2,O2	Exp - Easy 2 & Easy 2	
52	left	0	1.468	b2,O2	Con - Hard 2 & Easy 2	
53	right	1	1.835	O2,b2	Con - Easy 2 & Hard 2	
54	left	1	1.312	O1,O1	Exp - Easy 1 & Easy 1	
55	left	1	1.785	O2,o2	Exp - Easy 2 & Hard 2	
56	right	0	1.623	o1,O1	Con - Hard 1 & Easy 1	
57	left	0	2.340	O2,b2	Con - Easy 2 & Hard 2	
58	left	1	1.607	O1,o1	Con - Easy 1 & Hard 1	
59	left	1	1.132	O2,o2	Exp - Easy 2 & Hard 2	
60	right	0	1.210	o1,O1	Con - Hard 1 & Easy 1	
61	right	1	3.625	b1,o1	Exp - Hard 1 & Hard 1	
62	left	1	2.313	O2,o2	Exp - Easy 2 & Hard 2	
63	right	1	1.090	b1,O1	Con - Hard 1 & Easy 1	
64	right	1	1.080	b2,O2	Con - Hard 2 & Easy 2	
65	left	1	0.950	O1,O1	Exp - Easy 1 & Easy 1	
66	left	1	1.967	o1,o1	Exp - Hard 1 & Hard 1	
67	left	1	2.923	o1,O1	Con - Hard 1 & Easy 1	
68	right	1	1.713	B1,O1	Exp - Easy 1 & Easy 1	
69	right	1	1.029	O1,b1	Con - Easy 1 & Hard 1	
70	right	1	1.170	b2,O2	Con - Hard 2 & Easy 2	
71	left	1	0.776	O1,O1	Exp - Easy 1 & Easy 1	
72	right	0	1.530	o1,o1	Exp - Hard 1 & Hard 1	
73	left	1	1.033	O2,O2	Exp - Easy 2 & Easy 2	
74	right	1	2.055	b2,o2	Exp - Hard 2 & Hard 2	
75	left	1	0.859	O1,O1	Exp - Easy 1 & Easy 1	
76	right	1	1.134	b2,O2	Con - Hard 2 & Easy 2	
77	right	1	1.084	B1,O1	Exp - Easy 1 & Easy 1	
78	right	0	1.816	o2,O2	Con - Hard 2 & Easy 2	
79	right	1	2.243	b2,o2	Exp - Hard 2 & Hard 2	
80	left	1	2.351	o1,O1	Con - Hard 1 & Easy 1	
81	right	1	2.043	O1,b1	Con - Easy 1 & Hard 1	
82	right	1	2.314	b2,O2	Con - Hard 2 & Easy 2	
83	right	1	2.356	b2,o2	Exp - Hard 2 & Hard 2	
84	left	1	1.382	o2,O2	Con - Hard 2 & Easy 2	
85	right	0	4.497	o1,o1	Exp - Hard 1 & Hard 1	
86	left	1	0.846	O1,O1	Exp - Easy 1 & Easy 1	
87	right	1	0.993	b1,O1	Con - Hard 1 & Easy 1	
88	right	0	0.942	o2,O2	Con - Hard 2 & Easy 2	
89	right	1	1.089	B2,O2	Exp - Easy 2 & Easy 2	
90	right	1	0.982	B2,O2	Exp - Easy 2 & Easy 2	
91	left	1	0.932	O1,O1	Exp - Easy 1 & Easy 1	
92	left	1	0.721	O1,O1	Exp - Easy 1 & Easy 1	
93	right	1	1.426	B2,O2	Exp - Easy 2 & Easy 2	
94	right	1	1.965	b2,O2	Con - Hard 2 & Easy 2	
95	left	1	2.332	o2,o2	Exp - Hard 2 & Hard 2	
96	left	1	2.172	o2,O2	Con - Hard 2 & Easy 2	
97	left	1	2.067	o2,O2	Con - Hard 2 & Easy 2	
98	left	1	1.396	O2,o2	Exp - Easy 2 & Hard 2	
99	right	1	1.642	O1,b1	Con - Easy 1 & Hard 1	
100	right	0	3.385	o2,o2	Exp - Hard 2 & Hard 2	
101	right	1	1.007	B1,O1	Exp - Easy 1 & Easy 1	
102	left	1	2.837	O1,o1	Con - Easy 1 & Hard 1	
103	right	1	1.672	b2,O2	Con - Hard 2 & Easy 2	
104	left	1	1.214	O1,o1	Con - Easy 1 & Hard 1	
105	right	1	2.014	b2,O2	Con - Hard 2 & Easy 2	
106	left	1	1.482	o1,o1	Exp - Hard 1 & Hard 1	
107	right	0	2.431	O2,o2	Exp - Easy 2 & Hard 2	
108	right	1	1.146	b1,o1	Exp - Hard 1 & Hard 1	
109	right	1	0.896	B1,O1	Exp - Easy 1 & Easy 1	
110	right	1	1.124	b1,O1	Con - Hard 1 & Easy 1	
111	right	0	1.583	o2,o2	Exp - Hard 2 & Hard 2	
112	left	1	1.107	O2,O2	Exp - Easy 2 & Easy 2	
113	right	1	0.920	B1,O1	Exp - Easy 1 & Easy 1	
114	right	1	2.877	b1,o1	Exp - Hard 1 & Hard 1	
115	right	0	2.607	o1,o1	Exp - Hard 1 & Hard 1	
116	right	1	1.147	b1,O1	Con - Hard 1 & Easy 1	
117	left	0	3.093	O2,b2	Con - Easy 2 & Hard 2	
118	left	0	2.534	O1,b1	Con - Easy 1 & Hard 1	
119	left	0	2.419	b2,o2	Exp - Hard 2 & Hard 2	
120	left	1	2.506	o1,o1	Exp - Hard 1 & Hard 1	
121	left	0	1.626	b2,O2	Con - Hard 2 & Easy 2	
122	right	1	3.387	b2,O2	Con - Hard 2 & Easy 2	
123	left	1	1.525	O2,O2	Exp - Easy 2 & Easy 2	
124	left	1	1.597	o1,o1	Exp - Hard 1 & Hard 1	
125	left	1	1.229	O2,O2	Exp - Easy 2 & Easy 2	
126	right	1	1.669	O1,b1	Con - Easy 1 & Hard 1	
127	left	1	2.711	o2,O2	Con - Hard 2 & Easy 2	
128	left	1	2.236	o1,o1	Exp - Hard 1 & Hard 1	
129	right	1	2.376	O2,b2	Con - Easy 2 & Hard 2	
130	right	1	5.085	b2,o2	Exp - Hard 2 & Hard 2	
131	left	1	2.150	O2,O2	Exp - Easy 2 & Easy 2	
132	right	1	0.853	B1,O1	Exp - Easy 1 & Easy 1	
133	left	1	1.333	O1,o1	Con - Easy 1 & Hard 1	
134	right	1	1.013	b1,o1	Exp - Hard 1 & Hard 1	
135	right	1	1.664	b1,o1	Exp - Hard 1 & Hard 1	
136	left	0	3.723	b2,o2	Exp - Hard 2 & Hard 2	
137	right	1	2.249	O2,b2	Con - Easy 2 & Hard 2	
138	right	0	1.772	o2,O2	Con - Hard 2 & Easy 2	
