Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
54	right	1	0.718	o2,B2	Con - Hard 2 & Easy 2	
55	right	1	1.090	B2,o2	Con - Easy 2 & Hard 2	
56	left	1	1.029	B2,b2	Con - Easy 2 & Hard 2	
57	left	1	0.673	B1,b1	Con - Easy 1 & Hard 1	
58	left	1	1.391	b1,b1	Exp - Hard 1 & Hard 1	
59	left	1	1.172	B2,b2	Con - Easy 2 & Hard 2	
60	right	1	0.840	o2,b2	Exp - Hard 2 & Hard 2	
61	right	1	0.738	o1,b1	Exp - Hard 1 & Hard 1	
62	left	1	1.006	b2,b2	Exp - Hard 2 & Hard 2	
63	left	1	0.456	B1,B1	Exp - Easy 1 & Easy 1	
64	right	1	1.306	B2,o2	Con - Easy 2 & Hard 2	
65	right	1	1.722	o1,B1	Con - Hard 1 & Easy 1	
66	left	1	0.722	b2,B2	Con - Hard 2 & Easy 2	
67	right	1	0.723	o1,b1	Exp - Hard 1 & Hard 1	
68	right	1	0.573	O1,B1	Exp - Easy 1 & Easy 1	
69	left	0	1.134	B1,o1	Con - Easy 1 & Hard 1	
70	right	0	0.527	B2,B2	Exp - Easy 2 & Easy 2	
71	right	1	0.621	O2,B2	Exp - Easy 2 & Easy 2	
72	left	1	0.805	B1,B1	Exp - Easy 1 & Easy 1	
73	right	1	1.306	B2,o2	Con - Easy 2 & Hard 2	
74	right	1	0.870	o1,b1	Exp - Hard 1 & Hard 1	
75	right	1	1.026	B1,o1	Con - Easy 1 & Hard 1	
76	right	0	1.039	b1,b1	Exp - Hard 1 & Hard 1	
77	right	1	0.674	o2,b2	Exp - Hard 2 & Hard 2	
78	right	1	1.139	o1,B1	Con - Hard 1 & Easy 1	
79	right	1	0.573	O1,B1	Exp - Easy 1 & Easy 1	
80	left	1	3.738	b1,B1	Con - Hard 1 & Easy 1	
81	left	1	0.672	B2,B2	Exp - Easy 2 & Easy 2	
82	left	1	3.611	b1,b1	Exp - Hard 1 & Hard 1	
83	right	1	1.722	B2,o2	Con - Easy 2 & Hard 2	
84	right	0	1.455	b2,b2	Exp - Hard 2 & Hard 2	
85	right	1	0.859	O2,B2	Exp - Easy 2 & Easy 2	
86	right	1	0.989	B1,o1	Con - Easy 1 & Hard 1	
87	left	1	0.955	b1,b1	Exp - Hard 1 & Hard 1	
88	right	1	0.659	B2,o2	Con - Easy 2 & Hard 2	
89	right	0	2.969	b2,B2	Con - Hard 2 & Easy 2	
90	left	0	1.948	o2,b2	Exp - Hard 2 & Hard 2	
91	right	1	2.862	o2,b2	Exp - Hard 2 & Hard 2	
92	left	1	0.527	B2,b2	Con - Easy 2 & Hard 2	
93	right	1	1.006	B1,o1	Con - Easy 1 & Hard 1	
94	left	1	0.471	B1,B1	Exp - Easy 1 & Easy 1	
95	left	1	0.472	B1,B1	Exp - Easy 1 & Easy 1	
96	right	1	0.821	O2,B2	Exp - Easy 2 & Easy 2	
97	left	1	1.256	b2,b2	Exp - Hard 2 & Hard 2	
98	right	1	0.689	o1,B1	Con - Hard 1 & Easy 1	
99	right	1	0.721	o1,b1	Exp - Hard 1 & Hard 1	
100	left	0	0.572	O1,B1	Exp - Easy 1 & Easy 1	
101	left	1	0.634	B1,B1	Exp - Easy 1 & Easy 1	
102	left	1	1.172	b1,b1	Exp - Hard 1 & Hard 1	
103	left	1	0.588	b1,B1	Con - Hard 1 & Easy 1	
104	left	1	0.622	b1,b1	Exp - Hard 1 & Hard 1	
105	right	1	0.807	B1,o1	Con - Easy 1 & Hard 1	
106	right	1	2.173	o1,b1	Exp - Hard 1 & Hard 1	
107	left	0	1.171	o2,b2	Exp - Hard 2 & Hard 2	
108	left	1	0.671	B1,B1	Exp - Easy 1 & Easy 1	
109	right	1	0.656	B1,o1	Con - Easy 1 & Hard 1	
110	right	1	2.405	o2,B2	Con - Hard 2 & Easy 2	
111	right	0	0.955	b2,B2	Con - Hard 2 & Easy 2	
112	right	0	0.528	B2,b2	Con - Easy 2 & Hard 2	
113	right	0	0.638	b2,B2	Con - Hard 2 & Easy 2	
114	right	0	0.446	b1,b1	Exp - Hard 1 & Hard 1	
115	left	1	0.404	B1,B1	Exp - Easy 1 & Easy 1	
116	right	1	0.609	o1,B1	Con - Hard 1 & Easy 1	
117	right	1	0.623	O2,B2	Exp - Easy 2 & Easy 2	
118	left	1	0.638	B2,B2	Exp - Easy 2 & Easy 2	
119	right	1	2.740	O2,B2	Exp - Easy 2 & Easy 2	
120	right	1	2.473	O1,B1	Exp - Easy 1 & Easy 1	
121	right	1	1.172	O2,B2	Exp - Easy 2 & Easy 2	
122	right	1	0.923	O1,B1	Exp - Easy 1 & Easy 1	
