Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
115	left	0	0.173	B1,O1	Exp - Easy 1 & Easy 1	
116	right	1	0.053	b1,o1	Exp - Hard 1 & Hard 1	
117	left	0	0.174	o1,o1	Exp - Hard 1 & Hard 1	
118	left	0	0.220	O1,b1	Con - Easy 1 & Hard 1	
119	left	0	0.088	O2,b2	Con - Easy 2 & Hard 2	
120	right	0	0.404	O1,b1	Con - Easy 1 & Hard 1	
121	left	1	0.235	O2,O2	Exp - Easy 2 & Easy 2	
122	right	1	0.104	O1,O1	Exp - Easy 1 & Easy 1	
123	left	0	0.187	o1,O1	Con - Hard 1 & Easy 1	
124	right	0	0.069	O2,o2	Exp - Easy 2 & Hard 2	
125	left	1	0.136	o2,o2	Exp - Hard 2 & Hard 2	
126	right	0	0.052	O2,o2	Exp - Easy 2 & Hard 2	
127	left	1	0.137	B2,O2	Exp - Easy 2 & Easy 2	
128	right	0	0.090	o2,o2	Exp - Hard 2 & Hard 2	
129	left	0	0.053	O2,b2	Con - Easy 2 & Hard 2	
130	right	0	0.089	b2,o2	Exp - Hard 2 & Hard 2	
131	left	0	0.037	O1,o1	Con - Easy 1 & Hard 1	
132	right	0	0.153	O1,o1	Con - Easy 1 & Hard 1	
133	left	1	0.137	b2,o2	Exp - Hard 2 & Hard 2	
134	right	0	0.037	b2,o2	Exp - Hard 2 & Hard 2	
135	left	1	0.070	b2,o2	Exp - Hard 2 & Hard 2	
136	right	1	0.036	b1,o1	Exp - Hard 1 & Hard 1	
137	left	1	0.013	o2,o2	Exp - Hard 2 & Hard 2	
138	right	0	0.038	O1,b1	Con - Easy 1 & Hard 1	
