Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
10	left	1	0.573	O,b	Con - Easy 2	2	
11	right	0	1.227	o,b	Exp - Hard 1	2	
12	right	1	0.875	b,o	Exp - Hard 2	2	
13	right	0	0.686	o,b	Exp - Hard 2	2	
14	right	1	1.931	B,o	Con - Easy 2	2	
15	right	1	0.772	b,o	Exp - Hard 2	2	
16	right	0	0.809	o,b	Exp - Hard 2	2	
17	right	0	2.480	O,b	Con - Easy 1	2	
18	left	0	0.925	B,o	Con - Easy 2	2	
19	left	1	1.623	O,b	Con - Easy 2	2	
20	right	1	1.502	B,o	Con - Easy 1	2	
21	left	1	1.733	O,b	Con - Easy 1	2	
22	right	1	2.859	b,o	Exp - Hard 1	2	
23	right	1	0.997	B,o	Con - Easy 2	2	
24	right	1	0.833	b,o	Exp - Hard 1	2	
25	left	1	1.436	o,b	Exp - Hard 1	2	
26	right	1	0.929	B,o	Con - Easy 1	2	
27	right	1	1.226	B,o	Con - Easy 2	2	
28	right	0	0.930	o,b	Exp - Hard 1	2	
29	left	0	1.862	b,o	Exp - Hard 1	2	
30	left	1	0.619	o,b	Exp - Hard 2	2	
31	right	1	1.665	B,o	Con - Easy 1	2	
32	right	1	1.226	b,o	Exp - Hard 1	2	
33	left	1	1.137	O,b	Con - Easy 2	2	
34	left	0	1.252	b,o	Exp - Hard 1	2	
35	right	0	0.694	O,b	Con - Easy 2	2	
36	right	0	0.794	O,b	Con - Easy 1	2	
37	left	0	0.899	B,o	Con - Easy 1	2	
38	right	1	1.793	B,o	Con - Easy 1	2	
39	left	1	1.295	O,b	Con - Easy 1	2	
40	right	1	0.717	B,o	Con - Easy 2	2	
1	right	0	1.344	O2,O2	Exp - Easy 2 & Easy 2	
2	left	1	1.254	O2,O2	Exp - Easy 2 & Easy 2	
3	right	0	1.052	O2,o2	Exp - Easy 2 & Hard 2	
4	right	1	0.841	B1,O1	Exp - Easy 1 & Easy 1	
5	left	1	0.945	o1,O1	Con - Hard 1 & Easy 1	
6	right	0	0.859	o1,O1	Con - Hard 1 & Easy 1	
7	right	1	0.652	B1,O1	Exp - Easy 1 & Easy 1	
8	right	1	0.564	b1,O1	Con - Hard 1 & Easy 1	
9	right	0	0.842	o2,O2	Con - Hard 2 & Easy 2	
10	left	1	1.429	o1,o1	Exp - Hard 1 & Hard 1	
11	left	1	1.346	O2,O2	Exp - Easy 2 & Easy 2	
12	left	1	1.341	O1,O1	Exp - Easy 1 & Easy 1	
13	right	0	0.897	o1,O1	Con - Hard 1 & Easy 1	
14	left	1	1.544	O1,O1	Exp - Easy 1 & Easy 1	
15	right	0	1.310	o2,o2	Exp - Hard 2 & Hard 2	
16	right	0	1.338	O1,o1	Con - Easy 1 & Hard 1	
17	right	1	1.541	b2,o2	Exp - Hard 2 & Hard 2	
18	right	1	0.797	B1,O1	Exp - Easy 1 & Easy 1	
19	right	1	0.700	O2,b2	Con - Easy 2 & Hard 2	
20	right	0	1.262	o2,O2	Con - Hard 2 & Easy 2	
21	right	1	1.050	b2,O2	Con - Hard 2 & Easy 2	
22	right	0	0.897	o2,o2	Exp - Hard 2 & Hard 2	
23	right	1	0.987	b2,O2	Con - Hard 2 & Easy 2	
24	right	0	0.759	O1,o1	Con - Easy 1 & Hard 1	
25	right	1	0.840	b2,o2	Exp - Hard 2 & Hard 2	
26	right	1	0.965	O1,b1	Con - Easy 1 & Hard 1	
27	right	1	1.174	b2,O2	Con - Hard 2 & Easy 2	
28	right	0	1.068	O2,o2	Exp - Easy 2 & Hard 2	
29	left	1	1.045	o2,O2	Con - Hard 2 & Easy 2	
30	right	0	0.922	O2,O2	Exp - Easy 2 & Easy 2	
31	right	1	0.915	O2,b2	Con - Easy 2 & Hard 2	
32	right	1	0.888	O2,b2	Con - Easy 2 & Hard 2	
33	right	0	0.910	O1,o1	Con - Easy 1 & Hard 1	
34	right	1	0.974	b2,o2	Exp - Hard 2 & Hard 2	
35	right	0	0.786	O2,o2	Exp - Easy 2 & Hard 2	
36	right	1	1.142	O2,b2	Con - Easy 2 & Hard 2	
37	right	1	0.702	b2,o2	Exp - Hard 2 & Hard 2	
38	right	0	0.667	o1,O1	Con - Hard 1 & Easy 1	
39	right	1	1.008	b2,O2	Con - Hard 2 & Easy 2	
40	right	1	0.832	b1,o1	Exp - Hard 1 & Hard 1	
41	right	1	0.952	b2,O2	Con - Hard 2 & Easy 2	
42	right	0	1.162	O1,O1	Exp - Easy 1 & Easy 1	
43	left	1	0.723	O1,O1	Exp - Easy 1 & Easy 1	
44	left	0	0.820	b2,O2	Con - Hard 2 & Easy 2	
45	right	1	1.041	b1,o1	Exp - Hard 1 & Hard 1	
46	left	0	0.715	b1,o1	Exp - Hard 1 & Hard 1	
47	left	1	1.282	o2,O2	Con - Hard 2 & Easy 2	
48	right	1	0.653	b2,O2	Con - Hard 2 & Easy 2	
49	right	0	0.882	O2,o2	Exp - Easy 2 & Hard 2	
50	right	1	0.609	O2,b2	Con - Easy 2 & Hard 2	
51	right	0	1.885	o1,O1	Con - Hard 1 & Easy 1	
52	right	1	0.599	O2,b2	Con - Easy 2 & Hard 2	
53	right	1	0.808	O2,b2	Con - Easy 2 & Hard 2	
54	right	1	1.064	b1,o1	Exp - Hard 1 & Hard 1	
55	left	1	1.204	O1,O1	Exp - Easy 1 & Easy 1	
56	right	1	0.653	b1,O1	Con - Hard 1 & Easy 1	
57	right	0	0.622	o2,o2	Exp - Hard 2 & Hard 2	
58	right	1	0.882	B2,O2	Exp - Easy 2 & Easy 2	
59	right	0	0.642	o1,o1	Exp - Hard 1 & Hard 1	
60	right	0	1.203	o1,O1	Con - Hard 1 & Easy 1	
61	right	0	0.736	o2,o2	Exp - Hard 2 & Hard 2	
62	right	0	0.620	O2,o2	Exp - Easy 2 & Hard 2	
63	right	0	0.530	o1,O1	Con - Hard 1 & Easy 1	
64	right	0	0.851	O2,o2	Exp - Easy 2 & Hard 2	
65	right	0	0.709	O2,O2	Exp - Easy 2 & Easy 2	
66	right	0	0.809	O1,o1	Con - Easy 1 & Hard 1	
67	right	1	1.382	b2,o2	Exp - Hard 2 & Hard 2	
68	right	0	0.627	O1,o1	Con - Easy 1 & Hard 1	
69	right	0	0.621	O2,o2	Exp - Easy 2 & Hard 2	
