Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
89	right	0	3.557	b1,b1	Exp - Hard 1 & Hard 1	
90	left	1	1.593	B1,B1	Exp - Easy 1 & Easy 1	
91	right	1	0.805	o1,b1	Exp - Hard 1 & Hard 1	
92	right	1	1.144	o1,B1	Con - Hard 1 & Easy 1	
93	right	0	1.364	b1,B1	Con - Hard 1 & Easy 1	
94	right	1	1.109	O1,B1	Exp - Easy 1 & Easy 1	
95	right	1	2.444	B1,o1	Con - Easy 1 & Hard 1	
96	right	0	2.592	b1,B1	Con - Hard 1 & Easy 1	
97	right	1	1.921	B1,o1	Con - Easy 1 & Hard 1	
98	left	1	1.447	b1,b1	Exp - Hard 1 & Hard 1	
99	left	1	1.498	B1,b1	Con - Easy 1 & Hard 1	
100	left	1	0.857	B1,B1	Exp - Easy 1 & Easy 1	
101	right	1	0.793	O1,B1	Exp - Easy 1 & Easy 1	
102	right	1	1.008	B1,o1	Con - Easy 1 & Hard 1	
103	right	1	1.728	o1,b1	Exp - Hard 1 & Hard 1	
104	right	1	0.940	O1,B1	Exp - Easy 1 & Easy 1	
105	right	0	3.106	b1,b1	Exp - Hard 1 & Hard 1	
106	left	1	1.976	b1,B1	Con - Hard 1 & Easy 1	
107	left	1	0.840	B1,B1	Exp - Easy 1 & Easy 1	
108	right	0	4.581	b1,B1	Con - Hard 1 & Easy 1	
109	right	1	1.293	o1,b1	Exp - Hard 1 & Hard 1	
110	right	0	1.503	b1,b1	Exp - Hard 1 & Hard 1	
111	right	0	1.331	B1,B1	Exp - Easy 1 & Easy 1	
112	right	1	1.433	O1,B1	Exp - Easy 1 & Easy 1	
113	right	1	0.764	o1,b1	Exp - Hard 1 & Hard 1	
114	right	1	1.234	o1,B1	Con - Hard 1 & Easy 1	
115	right	1	1.004	B1,o1	Con - Easy 1 & Hard 1	
116	right	1	0.676	O1,B1	Exp - Easy 1 & Easy 1	
117	left	1	1.725	b1,B1	Con - Hard 1 & Easy 1	
118	left	1	1.643	B1,B1	Exp - Easy 1 & Easy 1	
119	left	1	1.390	B1,B1	Exp - Easy 1 & Easy 1	
120	right	1	1.423	o1,B1	Con - Hard 1 & Easy 1	
121	right	1	2.170	o1,B1	Con - Hard 1 & Easy 1	
122	right	1	1.668	O1,B1	Exp - Easy 1 & Easy 1	
123	right	1	3.857	o1,B1	Con - Hard 1 & Easy 1	
124	right	1	1.436	B1,o1	Con - Easy 1 & Hard 1	
125	right	1	1.689	o1,B1	Con - Hard 1 & Easy 1	
126	right	1	5.537	O1,B1	Exp - Easy 1 & Easy 1	
127	right	0	2.779	b1,b1	Exp - Hard 1 & Hard 1	
128	right	1	1.815	O1,B1	Exp - Easy 1 & Easy 1	
129	left	1	2.441	b1,B1	Con - Hard 1 & Easy 1	
130	left	0	1.080	o1,b1	Exp - Hard 1 & Hard 1	
131	left	1	1.041	B1,B1	Exp - Easy 1 & Easy 1	
132	right	0	1.078	B1,b1	Con - Easy 1 & Hard 1	
133	right	1	3.613	o1,B1	Con - Hard 1 & Easy 1	
134	right	1	1.033	B1,o1	Con - Easy 1 & Hard 1	
135	right	1	1.411	o1,b1	Exp - Hard 1 & Hard 1	
136	right	1	1.319	B1,o1	Con - Easy 1 & Hard 1	
137	left	1	1.650	B1,b1	Con - Easy 1 & Hard 1	
138	left	1	1.334	b1,B1	Con - Hard 1 & Easy 1	
139	right	0	1.563	b1,b1	Exp - Hard 1 & Hard 1	
140	right	0	1.862	b1,b1	Exp - Hard 1 & Hard 1	
141	right	1	1.123	o1,b1	Exp - Hard 1 & Hard 1	
142	left	1	1.299	B1,b1	Con - Easy 1 & Hard 1	
143	left	1	1.189	B1,B1	Exp - Easy 1 & Easy 1	
144	left	1	2.091	B1,b1	Con - Easy 1 & Hard 1	
145	left	1	1.501	b1,B1	Con - Hard 1 & Easy 1	
146	left	1	1.616	b1,b1	Exp - Hard 1 & Hard 1	
